age,income,loan_amount,credit_score,employment_years,debt_to_income,previous_defaults,gender,race,approved
35,65000,15000,720,8,0.35,0,M,White,1
42,82000,25000,680,12,0.42,0,F,White,1
28,45000,10000,650,3,0.48,1,M,Black,0
51,95000,30000,750,15,0.28,0,F,Asian,1
33,55000,12000,620,5,0.55,1,M,Hispanic,0
45,78000,20000,700,10,0.38,0,F,White,1
29,48000,8000,640,2,0.52,1,F,Black,0
38,72000,18000,710,9,0.40,0,M,White,1
55,110000,35000,780,20,0.25,0,M,Asian,1
31,52000,11000,630,4,0.50,1,F,Hispanic,0
47,88000,28000,730,14,0.32,0,F,White,1
26,42000,7000,610,1,0.58,1,M,Black,0
52,105000,32000,770,18,0.27,0,M,Asian,1
34,58000,13000,640,6,0.47,1,F,Hispanic,0
40,75000,19000,695,11,0.41,0,M,White,1
30,50000,9000,625,3,0.54,1,F,Black,0
49,92000,27000,745,16,0.30,0,F,Asian,1
36,68000,16000,705,9,0.38,0,M,White,1
27,44000,6000,615,2,0.57,1,M,Hispanic,0
53,108000,34000,775,19,0.26,0,F,White,1
32,54000,11500,635,5,0.51,1,M,Black,0
44,80000,22000,715,13,0.36,0,F,Asian,1
37,70000,17000,700,10,0.39,0,M,White,1
25,40000,5000,605,1,0.60,1,F,Hispanic,0
50,98000,31000,760,17,0.29,0,M,Asian,1
